node_from,node_to,weight
DK.1,DK.5,1
DK.1,DK.19,1
DK.2,DK.14,1
DK.2,DK.22,1
DK.3,DK.16,1
DK.3,DK.85,1
DK.3,DK.165,1
DK.4,DK.23,1
DK.5,DK.12,1
DK.6,DK.16,1
DK.6,DK.36,1
DK.7,DK.21,1
DK.8,DK.15,1
DK.9,DK.10,1
DK.9,DK.88,1
DK.9,DK.176,1
DK.10,DK.13,1
DK.11,DK.19,1
DK.11,DK.40,1
DK.11,DK.120,1
DK.11,DK.172,1
DK.12,DK.25,1
DK.13,DK.171,1
DK.14,DK.39,1
DK.14,DK.51,1
DK.14,DK.114,1
DK.14,DK.153,1
DK.15,DK.85,1
DK.15,DK.165,1
DK.16,DK.144,1
DK.16,DK.163,1
DK.17,DK.22,1
DK.18,DK.43,1
DK.19,DK.97,1
DK.19,DK.149,1
DK.20,DK.24,1
DK.21,DK.37,1
DK.22,DK.75,1
DK.22,DK.84,1
DK.22,DK.109,1
DK.23,DK.34,1
DK.23,DK.35,1
DK.23,DK.99,1
DK.23,DK.162,1
DK.23,DK.166,1
DK.24,DK.30,1
DK.24,DK.33,1
DK.25,DK.31,1
DK.25,DK.39,1
DK.25,DK.54,1
DK.25,DK.96,1
DK.25,DK.168,1
DK.26,DK.34,1
DK.27,DK.99,1
DK.27,DK.101,1
DK.28,DK.99,1
DK.28,DK.162,1
DK.28,DK.166,1
DK.29,DK.69,1
DK.29,DK.106,1
DK.30,DK.40,1
DK.30,DK.95,1
DK.31,DK.51,1
DK.31,DK.54,1
DK.31,DK.96,1
DK.31,DK.114,1
DK.31,DK.153,1
DK.31,DK.168,1
DK.32,DK.120,1
DK.32,DK.172,1
DK.33,DK.157,1
DK.33,DK.170,1
DK.34,DK.119,1
DK.34,DK.129,1
DK.35,DK.112,1
DK.35,DK.118,1
DK.36,DK.92,1
DK.36,DK.156,1
DK.37,DK.52,1
DK.37,DK.78,1
DK.38,DK.48,1
DK.38,DK.50,1
DK.39,DK.82,1
DK.39,DK.96,1
DK.40,DK.75,1
DK.40,DK.145,1
DK.41,DK.130,1
DK.41,DK.138,1
DK.42,DK.140,1
DK.43,DK.54,1
DK.43,DK.114,1
DK.43,DK.153,1
DK.44,DK.66,1
DK.45,DK.79,1
DK.45,DK.83,1
DK.45,DK.175,1
DK.46,DK.96,1
DK.46,DK.168,1
DK.47,DK.131,1
DK.47,DK.132,1
DK.47,DK.154,1
DK.48,DK.84,1
DK.48,DK.114,1
DK.48,DK.170,1
DK.49,DK.80,1
DK.49,DK.90,1
DK.49,DK.179,1
DK.50,DK.81,1
DK.50,DK.127,1
DK.51,DK.117,1
DK.51,DK.148,1
DK.52,DK.109,1
DK.52,DK.161,1
DK.53,DK.62,1
DK.53,DK.169,1
DK.54,DK.77,1
DK.54,DK.103,1
DK.55,DK.72,1
DK.55,DK.98,1
DK.55,DK.102,1
DK.56,DK.68,1
DK.56,DK.173,1
DK.57,DK.116,1
DK.57,DK.139,1
DK.58,DK.112,1
DK.59,DK.78,1
DK.59,DK.110,1
DK.60,DK.79,1
DK.61,DK.106,1
DK.61,DK.133,1
DK.62,DK.72,1
DK.62,DK.113,1
DK.62,DK.133,1
DK.62,DK.141,1
DK.63,DK.104,1
DK.63,DK.127,1
DK.63,DK.130,1
DK.64,DK.98,1
DK.64,DK.113,1
DK.65,DK.100,1
DK.65,DK.154,1
DK.66,DK.77,1
DK.66,DK.105,1
DK.67,DK.84,1
DK.67,DK.109,1
DK.67,DK.145,1
DK.68,DK.110,1
DK.68,DK.138,1
DK.69,DK.103,1
DK.70,DK.83,1
DK.71,DK.85,1
DK.71,DK.146,1
DK.71,DK.179,1
DK.72,DK.177,1
DK.73,DK.160,1
DK.74,DK.94,1
DK.75,DK.109,1
DK.75,DK.114,1
DK.76,DK.146,1
DK.76,DK.165,1
DK.77,DK.159,1
DK.77,DK.173,1
DK.77,DK.174,1
DK.78,DK.90,1
DK.78,DK.167,1
DK.79,DK.116,1
DK.79,DK.176,1
DK.80,DK.121,1
DK.80,DK.136,1
DK.80,DK.160,1
DK.80,DK.165,1
DK.80,DK.180,1
DK.81,DK.115,1
DK.81,DK.122,1
DK.81,DK.125,1
DK.82,DK.105,1
DK.82,DK.123,1
DK.82,DK.134,1
DK.83,DK.143,1
DK.84,DK.158,1
DK.85,DK.168,1
DK.86,DK.149,1
DK.86,DK.169,1
DK.87,DK.111,1
DK.88,DK.101,1
DK.88,DK.162,1
DK.88,DK.166,1
DK.89,DK.174,1
DK.90,DK.177,1
DK.91,DK.132,1
DK.92,DK.159,1
DK.93,DK.130,1
DK.93,DK.172,1
DK.94,DK.123,1
DK.95,DK.134,1
DK.95,DK.152,1
DK.96,DK.123,1
DK.96,DK.156,1
DK.97,DK.136,1
DK.97,DK.179,1
DK.98,DK.119,1
DK.99,DK.118,1
DK.100,DK.162,1
DK.101,DK.153,1
DK.102,DK.176,1
DK.103,DK.124,1
DK.104,DK.163,1
DK.105,DK.126,1
DK.105,DK.172,1
DK.106,DK.125,1
DK.106,DK.136,1
DK.106,DK.160,1
DK.107,DK.125,1
DK.107,DK.167,1
DK.108,DK.158,1
DK.109,DK.129,1
DK.109,DK.142,1
DK.110,DK.148,1
DK.111,DK.142,1
DK.112,DK.142,1
DK.112,DK.154,1
DK.113,DK.141,1
DK.114,DK.152,1
DK.115,DK.150,1
DK.115,DK.151,1
DK.116,DK.160,1
DK.117,DK.147,1
DK.117,DK.168,1
DK.118,DK.151,1
DK.119,DK.166,1
DK.120,DK.163,1
DK.121,DK.153,1
DK.122,DK.164,1
DK.123,DK.178,1
DK.124,DK.161,1
DK.125,DK.164,1
DK.125,DK.171,1
DK.126,DK.166,1
DK.127,DK.180,1
DK.128,DK.174,1
DK.129,DK.180,1
