node_from,node_to,weight
GE.1,GE.1963,1
PT.6,PT.1001,1
PT.6,PT.4088,1
PT.6,PT.7390,1
ES.7,ES.5144,1
ES.7,ES.5146,1
EE.8,EE.4262,1
EE.8,EE.4272,1
IE.13,IE.1974,1
IE.13,IE.1979,1
IE.14,IE.1982,1
IE.14,IE.1990,1
IE.14,IE.1994,1
IE.15,IE.1514,1
IE.15,IE.1515,1
FR.20,FR.5482,1
FR.22,FR.4984,1
FR.22,FR.5346,1
FR.38,FR.288,1
FR.38,FR.2070,1
FR.43,FR.5438,1
FR.43,FR.5484,1
FR.47,FR.2370,1
FR.47,FR.5400,1
BE.78,BE.2603,1
BE.78,BE.8206,1
BE.97,BE.135,1
BE.97,BE.5737,1
BE.98,BE.5737,1
BE.98,BE.5744,1
BE.100,BE.5744,1
BE.102,BE.111,1
BE.103,BE.104,1
BE.104,BE.105,1
BE.105,BE.108,1
BE.108,BE.110,1
BE.110,BE.112,1
BE.111,BE.115,1
BE.112,BE.137,1
BE.115,BE.120,1
BE.120,BE.121,1
BE.121,BE.122,1
BE.122,BE.5769,1
BE.122,BE.5771,1
BE.122,BE.5786,1
BE.122,BE.5788,1
BE.122,BE.5809,1
BE.122,BE.5824,1
BE.122,BE.5831,1
BE.122,BE.6023,1
BE.122,BE.6046,1
BE.122,BE.6457,1
BE.122,BE.6466,1
BE.122,BE.8215,1
BE.135,BE.2366,1
BE.135,BE.2818,1
BE.135,BE.5736,1
BE.135,BE.5748,1
BE.135,BE.5755,1
BE.135,BE.6452,1
BE.135,BE.6453,1
BE.135,BE.8219,1
BE.135,BE.8901,1
BE.137,BE.2143,1
BE.137,LU.2283,1
BE.153,BE.5767,1
BE.153,LU.7788,1
BE.165,NL.188,1
BE.165,NL.6245,1
BE.166,NL.186,1
NL.170,NL.1566,1
NL.170,NL.8099,1
NL.173,GR.1125,1
NL.173,GR.1462,1
NL.173,GR.1463,1
NL.176,NL.181,1
GR.177,NL.6615,1
NL.180,NL.6419,1
NL.180,NL.7492,1
NL.180,NL.7875,1
NL.181,NL.186,1
NL.181,NL.6497,1
NL.182,NL.6065,1
NL.183,NL.1566,1
NL.186,GB.203,1
NL.186,GB.2809,1
NL.186,GB.3952,1
NL.186,GB.3961,1
NL.186,GB.3969,1
NL.186,GB.3991,1
NL.186,GB.3992,1
NL.186,GB.3997,1
NL.186,GB.3999,1
NL.186,GB.4130,1
NL.186,GB.4178,1
NL.186,GB.4180,1
NL.186,GB.4187,1
NL.186,GB.4188,1
NL.186,GB.4211,1
NL.186,GB.4256,1
NL.186,GB.4385,1
NL.186,GB.4426,1
NL.186,GB.4428,1
NL.186,GB.5522,1
NL.186,GB.6552,1
NL.186,GB.6562,1
NL.186,GB.6565,1
NL.186,GB.7428,1
